Country,Country Code,CO2 Emmisions (kt),GDP (current US $)
Tonga,TON,190,489235527.4
Trinidad and Tobago,TTO,17760,23679919655
Tunisia,TUN,29980,39770478673
Turkey,TUR,412970,7.78377E+11
Turkmenistan,TKM,71730,40765428571
Tuvalu,TUV,10,42588164.97
Uganda,UGA,6130,32912338571
Ukraine,UKR,185370,1.30902E+11
United Arab Emirates,ARE,200300,4.22215E+11
United Kingdom,GBR,358800,2.85732E+12
United States,USA,4981300,2.06119E+13
Uruguay,URY,6520,64515038268
Uzbekistan,UZB,112090,50392607758
Vanuatu,VUT,180,914727908.1
Vietnam,VNM,257860,2.45214E+11
"Yemen, Rep.",YEM,9310,23486269599
Zambia,ZMB,7740,26311637647
Zimbabwe,ZWE,12270,19523622342
